VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,25.92,1750.0,34.99,18298,474284.16000000003,18082.0,621256.18,33226.63,8549.55,105195.84000000003,16.932763550134826,0.9881954311946661,1.3098817805764376
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,750.0,11.99,58816,466410.88,58320.0,643474.8,45919.42,89286.27,41858.23000000004,6.505030189216429,0.9915669205658324,1.379630766760844
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,6.83,1500.0,9.97,68084,465013.72,67195.0,695816.41,15097.470000000001,68054.7,147650.52000000005,21.21975249189654,0.9869426003172551,1.496335226410094
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,17.51,1750.0,24.99,25998,455224.98,23008.0,575754.9199999999,42276.159999999996,30234.420000000002,48019.35999999995,8.340243102047648,0.8849911531656282,1.2647700484274829
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,10.88,750.0,15.99,41274,449061.12,39387.0,658288.13,4415.6,17587.59,187223.82,28.441014119455566,0.9542811455153365,1.4659210087036705
17035,PERNOD RICARD USA,5735,Malibu Rum,9.29,750.0,11.99,48121,447044.09,46557.0,598769.43,36656.77,123780.22,-8711.649999999972,-1.4549256464211895,0.9674985972860082,1.3393968143052737
8112,MOET HENNESSY USA INC,5342,Grand Marnier,19.85,750.0,28.99,22234,441344.89999999997,22623.0,687309.77,17815.45,48347.26,179802.16000000003,26.160279956445258,1.0174957272645497,1.5573076068172536
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,1750.0,31.99,18409,436293.3,18376.0,667168.24,33767.5,5861.03,191246.41,28.66539480356559,0.9982073985550546,1.5291737003524923
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,1500.0,13.99,47153,433807.6,46069.0,701955.59,10347.03,79528.99,178271.97,25.396474155865047,0.977011006722796,1.6181265381242744
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34.12,1750.0,42.99,12713,433767.56,12218.0,536414.8200000001,22452.64,48347.26,31847.360000000066,5.937076831695303,0.9610634783292693,1.236641163299533
